date_dep,counts_dep,counts_withdrawals,counts_sessions,counts_games,counts_reg
44549,15,7,310,562,0
2021-12-19 01:00:00,11,6,321,2734,0
2021-12-19 02:00:00,17,5,630,2349,0
2021-12-19 03:00:00,30,13,606,3265,0
2021-12-19 04:00:00,48,28,780,3144,0
2021-12-19 05:00:00,64,43,794,4578,0
2021-12-19 06:00:00,72,22,1156,1369,0
2021-12-19 07:00:00,68,25,816,1689,0
2021-12-19 08:00:00,82,33,1107,851,0
2021-12-19 09:00:00,82,25,806,1003,0
2021-12-19 10:00:00,83,38,1078,691,0
2021-12-19 11:00:00,76,33,936,1505,0
2021-12-19 12:00:00,71,19,1180,1427,0
2021-12-19 13:00:00,126,26,1133,2012,0
2021-12-19 14:00:00,97,24,1301,3273,0
2021-12-19 15:00:00,114,21,1070,4063,0
2021-12-19 16:00:00,131,18,1229,4234,0
2021-12-19 17:00:00,125,28,998,4216,0
2021-12-19 18:00:00,107,31,916,2669,0
2021-12-19 19:00:00,67,35,597,3289,0
2021-12-19 20:00:00,30,23,474,2554,0
2021-12-19 21:00:00,16,14,309,2833,0
2021-12-19 22:00:00,14,13,333,2393,0
2021-12-19 23:00:00,6,1,268,2897,0
2021-12-20 00:00:00,11,6,335,2510,0
2021-12-20 01:00:00,8,13,375,2655,0
2021-12-20 02:00:00,18,14,583,2618,0
2021-12-20 03:00:00,32,18,578,3726,0
2021-12-20 04:00:00,41,19,811,2714,0
2021-12-20 05:00:00,71,26,809,2538,0
2021-12-20 06:00:00,61,20,1153,1026,0
2021-12-20 07:00:00,61,24,970,1745,0
2021-12-20 08:00:00,63,44,1129,890,0
2021-12-20 09:00:00,60,22,935,1091,0
2021-12-20 10:00:00,98,19,1231,1030,0
2021-12-20 11:00:00,68,40,869,1335,0
2021-12-20 12:00:00,95,30,1234,1261,0
2021-12-20 13:00:00,104,39,1134,2123,0
2021-12-20 14:00:00,99,32,1425,3201,0
2021-12-20 15:00:00,112,33,1165,4379,0
2021-12-20 16:00:00,129,27,1250,4359,0
2021-12-20 17:00:00,131,24,1029,5806,0
2021-12-20 18:00:00,87,64,1017,2641,0
2021-12-20 19:00:00,81,42,507,3192,0
2021-12-20 20:00:00,46,26,492,2288,0
2021-12-20 21:00:00,31,21,320,2858,0
2021-12-20 22:00:00,18,10,317,2332,0
2021-12-20 23:00:00,4,6,222,3123,0
2021-12-21 00:00:00,6,3,336,2326,0
2021-12-21 01:00:00,9,1,320,2475,0
2021-12-21 02:00:00,19,5,646,2530,0
2021-12-21 03:00:00,36,16,673,3273,0
2021-12-21 04:00:00,51,20,951,2742,0
2021-12-21 05:00:00,63,31,843,2946,0
2021-12-21 06:00:00,79,21,1114,1763,0
2021-12-21 07:00:00,78,37,879,1436,0
2021-12-21 08:00:00,70,29,961,825,0
2021-12-21 09:00:00,63,25,936,988,0
2021-12-21 10:00:00,87,32,1136,1074,0
2021-12-21 11:00:00,72,27,1029,1500,0
