date_dep,counts_dep,counts_withdrawals,counts_sessions,counts_games,counts_reg
44549.625,229,28,108,1585,0
2021-12-19 16:00:00,87,54,373,3385,0
2021-12-20 15:00:00,185,38,446,2700,0
2021-12-20 16:00:00,113,46,472,3061,0
2021-12-21 15:00:00,258,43,582,1586,0
2021-12-21 16:00:00,151,41,579,2795,0
2021-12-21 17:00:00,141,37,629,1237,0
2021-12-22 16:00:00,135,54,557,2022,0
2021-12-19 00:00:00,9,1,614,698,0
2021-12-19 01:00:00,23,7,613,754,0
2021-12-19 02:00:00,43,5,711,729,0
2021-12-19 03:00:00,35,13,483,789,0
2021-12-19 04:00:00,47,11,527,817,0
2021-12-19 05:00:00,51,17,590,1300,0
2021-12-19 06:00:00,64,18,712,3148,0
2021-12-19 07:00:00,59,20,662,2241,0
2021-12-19 08:00:00,56,11,454,2482,0
2021-12-19 09:00:00,65,17,293,2998,0
2021-12-19 10:00:00,67,24,256,3553,0
2021-12-19 11:00:00,98,19,130,2747,0
2021-12-19 12:00:00,94,16,110,3185,0
2021-12-19 13:00:00,140,18,65,2064,0
2021-12-19 14:00:00,238,21,89,3651,0
2021-12-19 17:00:00,75,25,88,3694,0
2021-12-19 18:00:00,54,21,156,4255,0
2021-12-19 19:00:00,39,15,416,3322,0
2021-12-19 20:00:00,25,10,468,2644,0
2021-12-19 21:00:00,22,9,513,3094,0
2021-12-19 22:00:00,36,7,612,1448,0
2021-12-19 23:00:00,9,6,702,2927,0
2021-12-20 00:00:00,19,4,873,1394,0
2021-12-20 01:00:00,24,6,795,2070,0
2021-12-20 02:00:00,31,9,1027,921,0
2021-12-20 03:00:00,52,13,896,549,0
2021-12-20 04:00:00,31,7,1052,584,0
2021-12-20 05:00:00,63,13,792,806,0
2021-12-20 06:00:00,78,14,898,996,0
2021-12-20 07:00:00,85,20,1063,1161,0
2021-12-20 08:00:00,104,21,808,3276,0
2021-12-20 09:00:00,64,21,719,2484,0
2021-12-20 10:00:00,108,23,604,2678,0
2021-12-20 11:00:00,138,21,405,2990,0
2021-12-20 12:00:00,117,32,336,3298,0
2021-12-20 13:00:00,171,26,196,2469,0
2021-12-20 14:00:00,189,24,114,3552,0
2021-12-20 17:00:00,102,30,95,2422,0
2021-12-20 18:00:00,84,21,46,3389,0
2021-12-20 19:00:00,34,14,86,3151,0
2021-12-20 20:00:00,16,13,183,3892,0
2021-12-20 21:00:00,21,7,495,3041,0
2021-12-20 22:00:00,20,3,635,2824,0
2021-12-20 23:00:00,13,3,667,3544,0
2021-12-21 00:00:00,28,7,806,1836,0
2021-12-21 01:00:00,53,13,759,2686,0
2021-12-21 02:00:00,55,12,1032,1176,0
2021-12-21 03:00:00,66,10,1047,1521,0
2021-12-21 04:00:00,87,19,1140,605,0
2021-12-21 05:00:00,86,19,1067,396,0
2021-12-21 06:00:00,110,17,1084,572,0
2021-12-21 07:00:00,113,31,834,928,0
2021-12-21 08:00:00,131,24,946,907,0
2021-12-21 09:00:00,88,27,882,1201,0
2021-12-21 10:00:00,104,31,887,2959,0
2021-12-21 11:00:00,96,30,770,2182,0
2021-12-21 12:00:00,86,28,594,2185,0
2021-12-21 13:00:00,141,27,648,2923,0
2021-12-21 14:00:00,280,21,394,3432,0
2021-12-21 18:00:00,69,38,333,2392,0
2021-12-21 19:00:00,57,19,111,3471,0
2021-12-21 20:00:00,4,11,66,1906,0
2021-12-21 21:00:00,17,6,61,3447,0
2021-12-21 22:00:00,10,7,105,3782,0
2021-12-21 23:00:00,23,5,173,3648,0
2021-12-22 00:00:00,25,2,531,2810,0
2021-12-22 01:00:00,54,9,605,2569,0
2021-12-22 02:00:00,63,11,743,2809,0
2021-12-22 03:00:00,73,14,834,1481,0
2021-12-22 04:00:00,106,27,854,2229,0
2021-12-22 05:00:00,121,36,1039,1034,0
2021-12-22 06:00:00,120,25,955,1385,0
2021-12-22 07:00:00,117,29,1084,569,0
2021-12-22 08:00:00,106,31,1167,646,0
2021-12-22 09:00:00,116,29,1262,750,0
2021-12-22 10:00:00,104,25,985,933,0
2021-12-22 11:00:00,119,28,1035,1206,0
2021-12-22 12:00:00,143,22,921,1872,0
2021-12-22 13:00:00,153,33,865,2783,0
2021-12-22 14:00:00,285,33,1131,2094,0
2021-12-22 15:00:00,241,32,572,2583,0
2021-12-22 17:00:00,120,47,467,2911,0
2021-12-23 16:00:00,161,54,1274,3602,0
2021-12-23 17:00:00,165,39,527,2739,0
2021-12-24 16:00:00,204,56,143,3344,0
2021-12-24 17:00:00,161,48,96,2219,0
2021-12-25 16:00:00,183,53,64,3184,0
2021-12-25 17:00:00,122,55,107,2827,0
2021-12-26 16:00:00,146,65,175,3108,0
2021-12-22 18:00:00,66,21,478,2554,0
2021-12-22 19:00:00,51,22,583,2014,0
2021-12-22 20:00:00,8,7,749,2262,0
2021-12-22 21:00:00,19,5,835,1727,0
2021-12-22 22:00:00,14,5,871,3382,0
2021-12-22 23:00:00,21,6,1181,1491,0
2021-12-23 00:00:00,20,8,1003,2267,0
2021-12-23 01:00:00,54,2,1018,500,0
2021-12-23 02:00:00,59,17,1021,466,0
2021-12-23 03:00:00,88,9,1137,525,0
2021-12-23 04:00:00,81,20,878,786,0
2021-12-23 05:00:00,107,30,927,1017,0
2021-12-23 06:00:00,113,20,882,1336,0
2021-12-23 07:00:00,149,34,899,3085,0
2021-12-23 08:00:00,118,47,1189,2540,0
2021-12-23 09:00:00,89,32,631,2918,0
2021-12-23 10:00:00,111,26,539,3513,0
2021-12-23 11:00:00,112,28,384,3969,0
2021-12-23 12:00:00,119,24,223,2600,0
2021-12-23 13:00:00,138,32,132,3290,0
2021-12-23 14:00:00,338,32,88,2260,0
2021-12-23 15:00:00,293,35,66,3661,0
2021-12-23 18:00:00,111,41,88,3773,0
2021-12-23 19:00:00,90,28,246,3884,0
2021-12-23 20:00:00,15,11,541,3310,0
2021-12-23 21:00:00,30,11,605,2620,0
2021-12-23 22:00:00,28,9,687,3453,0
2021-12-23 23:00:00,13,9,792,1723,0
2021-12-24 00:00:00,29,7,791,3100,0
2021-12-24 01:00:00,43,6,1036,1049,0
2021-12-24 02:00:00,79,22,1026,2332,0
2021-12-24 03:00:00,70,16,1069,1019,0
2021-12-24 04:00:00,79,30,1026,670,0
2021-12-24 05:00:00,91,21,1257,716,0
2021-12-24 06:00:00,104,32,883,777,0
2021-12-24 07:00:00,102,32,962,1046,0
2021-12-24 08:00:00,152,23,888,1536,0
2021-12-24 09:00:00,103,31,898,3428,0
2021-12-24 10:00:00,114,22,850,2925,0
2021-12-24 11:00:00,119,39,686,3278,0
2021-12-24 12:00:00,125,28,480,3035,0
2021-12-24 13:00:00,148,21,419,3566,0
2021-12-24 14:00:00,323,48,373,2584,0
2021-12-24 15:00:00,293,45,216,3770,0
2021-12-24 18:00:00,109,41,120,2344,0
2021-12-24 19:00:00,79,27,52,3784,0
2021-12-24 20:00:00,29,21,99,4506,0
2021-12-24 21:00:00,16,6,148,4488,0
2021-12-24 22:00:00,18,8,482,4428,0
2021-12-24 23:00:00,13,4,587,3293,0
2021-12-25 00:00:00,22,5,761,4820,0
2021-12-25 01:00:00,47,13,877,1759,0
2021-12-25 02:00:00,57,11,882,4597,0
2021-12-25 03:00:00,98,22,1130,1851,0
2021-12-25 04:00:00,88,29,1002,4202,0
2021-12-25 05:00:00,119,32,1143,997,0
2021-12-25 06:00:00,137,33,1199,533,0
2021-12-25 07:00:00,160,38,1184,538,0
2021-12-25 08:00:00,136,25,1017,778,0
2021-12-25 09:00:00,151,31,974,865,0
2021-12-25 10:00:00,110,40,927,1459,0
2021-12-25 11:00:00,140,45,834,2829,0
2021-12-25 12:00:00,124,29,927,2711,0
2021-12-25 13:00:00,152,32,590,3150,0
2021-12-25 14:00:00,204,35,534,3314,0
2021-12-25 15:00:00,234,39,536,3659,0
2021-12-25 18:00:00,98,32,349,2724,0
2021-12-25 19:00:00,65,20,163,3354,0
2021-12-25 20:00:00,3,10,97,2618,0
2021-12-25 21:00:00,28,9,66,3692,0
2021-12-25 22:00:00,17,5,148,3565,0
2021-12-25 23:00:00,13,5,198,3932,0
2021-12-26 00:00:00,24,3,456,3764,0
2021-12-26 01:00:00,30,6,609,2795,0
2021-12-26 02:00:00,76,11,729,3455,0
2021-12-26 03:00:00,81,24,951,1628,0
2021-12-26 04:00:00,106,22,960,3021,0
2021-12-26 05:00:00,129,25,1205,1412,0
2021-12-26 06:00:00,159,25,1073,2342,0
2021-12-26 07:00:00,142,36,1293,702,0
2021-12-26 08:00:00,123,32,1144,556,0
2021-12-26 09:00:00,144,37,1242,607,0
2021-12-26 10:00:00,139,39,993,685,0
2021-12-26 11:00:00,138,39,1247,894,0
2021-12-26 12:00:00,148,38,1001,1123,0
2021-12-26 13:00:00,172,36,1045,3144,0
2021-12-26 14:00:00,340,41,1055,2492,0
2021-12-26 15:00:00,306,47,717,2833,0
2021-12-26 17:00:00,159,52,558,3148,0
2021-12-27 16:00:00,203,64,577,3526,0
2021-12-27 17:00:00,184,64,367,2478,0
2021-12-28 16:00:00,245,68,146,3107,0
2021-12-28 17:00:00,165,60,76,2240,0
2021-12-29 16:00:00,179,59,68,3228,0
2021-12-29 17:00:00,151,54,91,3523,0
2021-12-30 16:00:00,242,65,228,3552,0
2021-12-26 18:00:00,131,45,565,3358,0
2021-12-26 19:00:00,51,22,635,2900,0
2021-12-26 20:00:00,37,16,828,3386,0
2021-12-26 21:00:00,26,10,972,1449,0
2021-12-26 22:00:00,25,10,946,2796,0
2021-12-26 23:00:00,30,11,1133,914,0
2021-12-27 00:00:00,43,11,1132,1976,0
2021-12-27 01:00:00,34,8,1277,586,0
2021-12-27 02:00:00,68,13,1196,513,0
2021-12-27 03:00:00,96,28,1300,461,0
2021-12-27 04:00:00,68,20,1062,580,0
2021-12-27 05:00:00,126,25,1093,911,0
2021-12-27 06:00:00,103,40,1097,1090,0
2021-12-27 07:00:00,148,35,1321,2858,0
2021-12-27 08:00:00,125,37,1156,1813,0
2021-12-27 09:00:00,126,41,719,2247,0
2021-12-27 10:00:00,137,33,594,2526,0
2021-12-27 11:00:00,171,32,659,3164,0
2021-12-27 12:00:00,163,41,386,2381,0
2021-12-27 13:00:00,186,55,165,3335,0
2021-12-27 14:00:00,446,51,154,2385,0
2021-12-27 15:00:00,377,53,90,3142,0
2021-12-27 18:00:00,118,34,132,3307,0
2021-12-27 19:00:00,64,25,270,3606,0
2021-12-27 20:00:00,21,16,694,3353,0
2021-12-27 21:00:00,43,13,700,2474,0
2021-12-27 22:00:00,25,19,844,2762,0
2021-12-27 23:00:00,35,5,1050,1204,0
2021-12-28 00:00:00,43,9,1046,2800,0
2021-12-28 01:00:00,80,15,1219,786,0
2021-12-28 02:00:00,99,27,1174,1753,0
2021-12-28 03:00:00,107,21,1197,465,0
2021-12-28 04:00:00,108,34,1319,594,0
2021-12-28 05:00:00,140,36,1559,762,0
2021-12-28 06:00:00,157,41,1295,792,0
2021-12-28 07:00:00,123,35,1153,836,0
2021-12-28 08:00:00,105,33,1063,1288,0
2021-12-28 09:00:00,147,35,1217,1892,0
2021-12-28 10:00:00,155,40,1242,2384,0
2021-12-28 11:00:00,145,39,1083,2280,0
2021-12-28 12:00:00,180,32,637,2782,0
2021-12-28 13:00:00,187,45,751,3408,0
2021-12-28 14:00:00,422,51,450,2378,0
2021-12-28 15:00:00,336,55,194,3123,0
2021-12-28 18:00:00,143,50,194,2015,0
2021-12-28 19:00:00,94,33,120,3062,0
2021-12-28 20:00:00,32,10,121,3127,0
2021-12-28 21:00:00,52,13,188,3866,0
2021-12-28 22:00:00,35,9,550,3421,0
2021-12-28 23:00:00,23,10,733,2783,0
2021-12-29 00:00:00,14,3,891,3126,0
2021-12-29 01:00:00,33,14,1010,1530,0
2021-12-29 02:00:00,70,13,950,2481,0
2021-12-29 03:00:00,105,37,1189,1220,0
2021-12-29 04:00:00,132,25,1194,2249,0
2021-12-29 05:00:00,129,31,1262,626,0
2021-12-29 06:00:00,156,37,1246,696,0
2021-12-29 07:00:00,140,41,1404,688,0
2021-12-29 08:00:00,128,38,1182,837,0
2021-12-29 09:00:00,118,39,1294,856,0
2021-12-29 10:00:00,161,30,1111,1561,0
2021-12-29 11:00:00,151,48,1110,2729,0
2021-12-29 12:00:00,188,47,1116,2245,0
2021-12-29 13:00:00,222,46,637,2453,0
2021-12-29 14:00:00,298,46,520,2751,0
2021-12-29 15:00:00,299,44,593,3246,0
2021-12-29 18:00:00,113,34,437,2473,0
2021-12-29 19:00:00,79,28,156,3090,0
2021-12-29 20:00:00,40,11,127,2011,0
2021-12-29 21:00:00,48,10,131,3345,0
2021-12-29 22:00:00,47,14,163,3725,0
2021-12-29 23:00:00,43,10,243,3298,0
2021-12-30 00:00:00,48,11,594,3305,0
2021-12-30 01:00:00,41,15,701,2832,0
2021-12-30 02:00:00,84,23,912,3152,0
2021-12-30 03:00:00,102,19,1008,1423,0
2021-12-30 04:00:00,104,19,973,2457,0
2021-12-30 05:00:00,125,30,1353,1135,0
2021-12-30 06:00:00,153,32,1215,1892,0
2021-12-30 07:00:00,114,27,1346,796,0
2021-12-30 08:00:00,175,35,1296,630,0
2021-12-30 09:00:00,153,40,1370,413,0
2021-12-30 10:00:00,173,54,1102,737,0
2021-12-30 11:00:00,189,31,1168,968,0
2021-12-30 12:00:00,177,55,1053,1424,0
2021-12-30 13:00:00,211,32,1059,2729,0
2021-12-30 14:00:00,316,47,1147,2574,0
2021-12-30 15:00:00,285,39,716,2914,0
2021-12-30 17:00:00,202,56,562,3372,0
2021-12-31 16:00:00,150,34,609,3533,0
2021-12-31 17:00:00,172,47,437,2366,0
2022-01-01 16:00:00,178,51,257,3006,0
2022-01-01 17:00:00,137,40,101,1943,0
2022-01-02 16:00:00,188,55,90,2865,0
2022-01-02 17:00:00,169,59,100,3287,0
2022-01-03 16:00:00,192,53,178,3218,0
2021-12-30 18:00:00,155,56,572,2859,0
2021-12-30 19:00:00,149,44,706,2258,0
2021-12-30 20:00:00,58,23,776,2902,0
2021-12-30 21:00:00,5,8,962,1469,0
2021-12-30 22:00:00,28,11,1006,2688,0
2021-12-30 23:00:00,41,8,1253,845,0
2021-12-31 00:00:00,51,9,1157,1763,0
2021-12-31 01:00:00,70,14,1333,679,0
2021-12-31 02:00:00,81,24,1150,481,0
2021-12-31 03:00:00,96,20,1214,571,0
2021-12-31 04:00:00,62,24,1073,504,0
2021-12-31 05:00:00,91,14,1163,796,0
2021-12-31 06:00:00,139,21,982,1425,0
2021-12-31 07:00:00,158,30,953,2494,0
2021-12-31 08:00:00,160,42,786,2153,0
2021-12-31 09:00:00,178,33,792,2656,0
2021-12-31 10:00:00,163,45,738,3011,0
2021-12-31 11:00:00,174,37,726,3444,0
2021-12-31 12:00:00,157,45,470,2311,0
2021-12-31 13:00:00,163,49,213,2967,0
2021-12-31 14:00:00,220,42,130,1937,0
2021-12-31 15:00:00,241,35,97,3270,0
2021-12-31 18:00:00,157,38,116,3071,0
2021-12-31 19:00:00,94,35,138,3345,0
2021-12-31 20:00:00,73,20,334,3189,0
2021-12-31 21:00:00,52,18,549,2411,0
2021-12-31 22:00:00,11,13,919,3011,0
2021-12-31 23:00:00,5,1,906,1276,0
2022-01-01 00:00:00,15,8,963,2527,0
2022-01-01 01:00:00,24,6,1168,980,0
2022-01-01 02:00:00,52,13,1116,1662,0
2022-01-01 03:00:00,81,15,1175,407,0
2022-01-01 04:00:00,99,21,1196,372,0
2022-01-01 05:00:00,153,23,1337,489,0
2022-01-01 06:00:00,140,27,1101,621,0
2022-01-01 07:00:00,156,38,1353,826,0
2022-01-01 08:00:00,162,38,1029,1256,0
2022-01-01 09:00:00,173,33,1003,2724,0
2022-01-01 10:00:00,167,34,845,1963,0
2022-01-01 11:00:00,184,32,695,2466,0
2022-01-01 12:00:00,181,46,431,2897,0
2022-01-01 13:00:00,185,46,533,3385,0
2022-01-01 14:00:00,241,36,458,2169,0
2022-01-01 15:00:00,286,47,240,2930,0
