date_dep,counts_dep,counts_withdrawals,counts_sessions,counts_games,counts_reg
44549,0,0,110,730,0
2021-12-19 01:00:00,0,0,86,2640,0
2021-12-19 02:00:00,0,0,96,1622,0
2021-12-19 03:00:00,0,0,57,2747,0
2021-12-19 04:00:00,0,0,95,2684,0
2021-12-19 05:00:00,0,0,88,2771,0
2021-12-19 06:00:00,0,0,94,2421,0
2021-12-19 07:00:00,0,0,77,1021,0
2021-12-19 08:00:00,0,0,92,2200,0
2021-12-19 09:00:00,0,0,97,2491,0
2021-12-19 10:00:00,0,0,58,2401,0
2021-12-19 11:00:00,0,0,81,2568,0
2021-12-19 12:00:00,0,0,125,2431,0
2021-12-19 13:00:00,0,0,77,2610,0
2021-12-19 14:00:00,0,0,97,2739,0
2021-12-19 15:00:00,0,0,109,2692,0
2021-12-19 16:00:00,0,0,107,2586,0
2021-12-19 17:00:00,0,0,102,2205,0
2021-12-19 18:00:00,0,0,102,2369,0
2021-12-19 19:00:00,0,0,93,2730,0
2021-12-19 20:00:00,0,0,92,2526,0
2021-12-19 21:00:00,0,0,97,2594,0
2021-12-19 22:00:00,0,0,68,2692,0
2021-12-19 23:00:00,0,0,109,2754,0
2021-12-20 00:00:00,0,0,96,2704,0
2021-12-20 01:00:00,0,0,429,2633,0
2021-12-20 02:00:00,0,0,133,2852,0
2021-12-20 03:00:00,0,0,111,2725,0
2021-12-20 04:00:00,0,0,129,2843,0
2021-12-20 05:00:00,0,0,91,2845,0
2021-12-20 06:00:00,0,0,300,2641,0
2021-12-20 07:00:00,0,0,149,2755,0
2021-12-20 08:00:00,0,0,98,2756,0
2021-12-20 09:00:00,0,0,98,2900,0
2021-12-20 10:00:00,0,0,85,2758,0
2021-12-20 11:00:00,0,0,86,2615,0
2021-12-20 12:00:00,0,0,138,2555,0
2021-12-20 13:00:00,0,0,99,2844,0
2021-12-20 14:00:00,0,0,90,3026,0
2021-12-20 15:00:00,0,0,82,2741,0
2021-12-20 16:00:00,0,0,122,2584,0
2021-12-20 17:00:00,0,0,112,2527,0
2021-12-20 18:00:00,0,0,97,2527,0
2021-12-20 19:00:00,0,0,88,2199,0
2021-12-20 20:00:00,0,0,103,2412,0
2021-12-20 21:00:00,0,0,103,2446,0
2021-12-20 22:00:00,0,0,142,2573,0
2021-12-20 23:00:00,0,0,83,2468,0
2021-12-21 00:00:00,0,0,114,2385,0
2021-12-21 01:00:00,0,0,338,2338,0
2021-12-21 02:00:00,0,0,137,2503,0
2021-12-21 03:00:00,0,0,1188,2472,0
2021-12-21 05:00:00,0,0,105,2416,0
2021-12-21 06:00:00,0,0,92,2390,0
2021-12-21 07:00:00,0,0,179,2628,0
2021-12-21 08:00:00,0,0,108,2710,0
2021-12-21 09:00:00,0,0,110,2629,0
2021-12-21 10:00:00,0,0,98,2713,0
2021-12-21 11:00:00,0,0,78,2777,0
2021-12-21 12:00:00,0,0,83,2626,0
2021-12-21 13:00:00,0,0,136,2669,0
2021-12-21 14:00:00,0,0,96,2675,0
2021-12-21 15:00:00,0,0,607,2479,0
2021-12-21 16:00:00,0,0,308,2253,0
2021-12-21 17:00:00,0,0,178,1736,0
2021-12-21 18:00:00,0,0,390,1870,0
2021-12-21 19:00:00,0,0,98,2523,0
2021-12-21 20:00:00,0,0,215,2590,0
2021-12-21 21:00:00,0,0,116,2606,0
2021-12-21 22:00:00,0,0,103,2636,0
2021-12-21 23:00:00,0,0,149,2776,0
2021-12-22 00:00:00,0,0,160,2687,0
2021-12-22 01:00:00,0,0,113,2715,0
2021-12-22 02:00:00,0,0,394,2771,0
2021-12-22 03:00:00,0,0,103,2748,0
2021-12-22 04:00:00,0,0,86,3032,0
2021-12-22 05:00:00,0,0,187,2835,0
