date_dep,counts_dep,counts_withdrawals,counts_sessions,counts_games,counts_reg
44574.25,0,0,2,551,0
2022-01-13 08:00:00,0,0,4,2019,0
2022-01-13 09:00:00,0,0,27,2281,0
2022-01-13 11:00:00,0,0,17,2401,0
2022-01-13 10:00:00,0,0,2,2438,0
2022-01-13 12:00:00,0,0,2,2432,0
2022-01-13 13:00:00,0,0,14,2407,0
2022-01-13 14:00:00,0,0,11,2391,0
2022-01-13 15:00:00,0,0,13,2339,0
2022-01-13 16:00:00,0,0,5,2244,0
2022-01-13 17:00:00,0,0,1,2231,0
2022-01-13 18:00:00,0,0,4,2061,0
2022-01-13 19:00:00,0,0,14,1646,0
2022-01-13 20:00:00,0,0,13,1641,0
2022-01-13 21:00:00,0,0,1,1641,0
2022-01-13 22:00:00,0,0,8,1647,0
2022-01-13 23:00:00,0,0,15,1644,0
2022-01-14 00:00:00,0,0,56,1682,0
2022-01-14 01:00:00,0,0,23,1668,0
2022-01-14 02:00:00,0,0,31,1674,0
2022-01-14 03:00:00,0,0,12,1713,0
2022-01-14 04:00:00,0,0,24,1726,0
2022-01-14 05:00:00,0,0,25,1689,0
2022-01-14 06:00:00,0,0,22,1747,0
2022-01-14 07:00:00,0,0,21,1957,0
2022-01-14 08:00:00,0,0,47,2046,0
2022-01-14 09:00:00,0,0,7,2162,0
2022-01-14 10:00:00,0,0,50,2417,0
2022-01-14 11:00:00,0,0,29,2458,0
2022-01-14 12:00:00,0,0,48,2459,0
2022-01-14 13:00:00,0,0,34,2472,0
2022-01-14 14:00:00,0,0,38,2501,0
2022-01-14 15:00:00,0,0,31,2476,0
2022-01-14 16:00:00,0,0,33,2452,0
2022-01-14 17:00:00,0,0,53,2268,0
2022-01-14 18:00:00,0,0,36,2076,0
2022-01-14 19:00:00,0,0,82,1688,0
2022-01-14 20:00:00,0,0,29,1748,0
2022-01-14 21:00:00,0,0,17,1721,0
2022-01-14 22:00:00,0,0,42,1741,0
2022-01-14 23:00:00,0,0,19,1729,0
2022-01-15 00:00:00,0,0,34,1711,0
2022-01-15 01:00:00,0,0,36,1680,0
2022-01-15 02:00:00,0,0,80,1746,0
2022-01-15 03:00:00,0,0,89,1778,0
2022-01-15 04:00:00,0,0,83,1693,0
2022-01-15 05:00:00,0,0,35,1762,0
2022-01-15 06:00:00,0,0,23,1719,0
2022-01-15 07:00:00,0,0,29,1889,0
2022-01-15 08:00:00,0,0,27,2071,0
2022-01-15 09:00:00,0,0,24,2119,0
2022-01-15 10:00:00,0,0,18,2446,0
2022-01-15 11:00:00,0,0,80,2446,0
2022-01-15 12:00:00,0,0,24,2428,0
2022-01-15 13:00:00,0,0,102,2419,0
2022-01-15 14:00:00,0,0,33,2458,0
2022-01-15 15:00:00,0,0,16,2422,0
2022-01-15 16:00:00,0,0,37,2407,0
2022-01-15 17:00:00,0,0,51,2288,0
2022-01-15 18:00:00,0,0,38,2335,0
2022-01-15 19:00:00,0,0,38,1753,0
2022-01-15 20:00:00,0,0,28,1632,0
2022-01-15 21:00:00,0,0,37,1657,0
2022-01-15 22:00:00,0,0,29,1645,0
2022-01-15 23:00:00,0,0,17,1611,0
2022-01-16 00:00:00,0,0,49,1688,0
2022-01-16 01:00:00,0,0,42,1652,0
2022-01-16 02:00:00,0,0,25,1625,0
2022-01-16 03:00:00,0,0,26,1656,0
2022-01-16 04:00:00,0,0,24,1690,0
2022-01-16 05:00:00,0,0,40,1739,0
2022-01-16 06:00:00,0,0,34,1816,0
2022-01-16 07:00:00,0,0,26,1944,0
2022-01-16 08:00:00,0,0,130,2129,0
2022-01-16 09:00:00,0,0,56,2103,0
2022-01-16 10:00:00,0,0,117,2449,0
2022-01-16 11:00:00,0,0,16,2474,0
2022-01-16 12:00:00,0,0,34,2472,0
2022-01-16 13:00:00,0,0,47,2422,0
2022-01-16 14:00:00,0,0,42,2421,0
2022-01-16 15:00:00,0,0,29,2401,0
2022-01-16 16:00:00,0,0,19,2321,0
2022-01-16 17:00:00,0,0,30,2264,0
2022-01-16 18:00:00,0,0,25,2077,0
2022-01-16 19:00:00,0,0,31,1685,0
2022-01-16 20:00:00,0,0,20,1645,0
2022-01-16 21:00:00,0,0,32,1636,0
2022-01-16 22:00:00,0,0,10,1577,0
2022-01-16 23:00:00,0,0,66,1632,0
2022-01-17 00:00:00,0,0,15,1636,0
2022-01-17 01:00:00,0,0,32,1594,0
2022-01-17 02:00:00,0,0,34,1649,0
2022-01-17 03:00:00,0,0,42,1619,0
2022-01-17 04:00:00,0,0,42,1194,0
2022-01-17 05:00:00,0,0,95,1711,0
2022-01-17 06:00:00,0,0,156,1796,0
2022-01-17 07:00:00,0,0,44,2047,0
2022-01-17 08:00:00,0,0,33,2205,0
2022-01-17 09:00:00,0,0,31,2296,0
2022-01-17 10:00:00,0,0,49,2577,0
2022-01-17 11:00:00,0,0,35,2586,0
2022-01-17 12:00:00,0,0,44,2597,0
2022-01-17 13:00:00,0,0,45,2591,0
2022-01-17 14:00:00,0,0,14,2565,0
2022-01-17 15:00:00,0,0,36,2602,0
2022-01-17 16:00:00,0,0,26,2426,0
2022-01-17 17:00:00,0,0,126,2390,0
2022-01-17 18:00:00,0,0,94,2278,0
2022-01-17 19:00:00,0,0,71,1722,0
2022-01-17 20:00:00,0,0,59,1646,0
2022-01-17 21:00:00,0,0,26,1681,0
2022-01-17 22:00:00,0,0,72,1707,0
2022-01-17 23:00:00,0,0,57,1701,0
2022-01-18 00:00:00,0,0,70,1709,0
2022-01-18 01:00:00,0,0,25,1675,0
2022-01-18 02:00:00,0,0,98,1703,0
2022-01-18 03:00:00,0,0,23,1753,0
2022-01-18 04:00:00,0,0,64,1687,0
2022-01-18 05:00:00,0,0,82,1539,0
2022-01-18 06:00:00,0,0,28,2,0
2022-01-18 07:00:00,0,0,25,42,0
